,years,Emission  in KTs
0,1990,2173360.0
1,1991,2302180.0
2,1992,2418180.0
3,1993,2645410.0
4,1994,2767670.0
5,1995,3088620.0
6,1996,3070510.0
7,1997,3134110.0
8,1998,3236280.0
9,1999,3153660.0
10,2000,3346530.0
11,2001,3529080.0
12,2002,3810060.05859375
13,2003,4415910.15625
14,2004,5124819.82421875
15,2005,5824629.8828125
16,2006,6437470.21484375
17,2007,6993180.17578125
18,2008,7199600.09765625
19,2009,7719069.82421875
20,2010,8474919.921875
21,2011,9282549.8046875
22,2012,9541870.1171875
23,2013,9984570.3125
24,2014,10006669.921875
25,2015,9861099.609375
26,2016,9874660.15625
27,2017,10096009.765625
28,2018,10502929.6875
29,2019,10707219.7265625
