,Year,Emission in kT
0,1990,563580
1,1991,607230
2,1992,626290
3,1993,651350
4,1994,685900
5,1995,737860
6,1996,774070
7,1997,819270
8,1998,836270
9,1999,901330
10,2000,937860
11,2001,953540
12,2002,985450.0122
13,2003,1011770.02
14,2004,1085670.044
15,2005,1136469.971
16,2006,1215209.961
17,2007,1336739.99
18,2008,1424380.005
19,2009,1564880.005
20,2010,1659979.98
21,2011,1756739.99
22,2012,1909439.941
23,2013,1972430.054
24,2014,2147110.107
25,2015,2158020.02
26,2016,2195250
27,2017,2320409.912
28,2018,2451929.932
29,2019,2456300.049
